BF,10,0.002578
DC,10,0.000152
QH,10,0.000156

BF,20,0.029007
DC,20,0.000236
QH,20,0.000223

BF,30,0.054433
DC,30,0.001267
QH,30,0.000796

BF,40,0.144626
DC,40,0.000509
QH,40,0.000397

BF,50,0.236052
DC,50,0.000627
QH,50,0.000480

BF,60,0.409472
DC,60,0.000875
QH,60,0.000591

BF,70,0.654500
DC,70,0.001044
QH,70,0.000680

BF,80,0.986713
DC,80,0.001185
QH,80,0.000805

BF,90,1.462570
DC,90,0.001149
QH,90,0.000795

BF,100,2.152338
DC,100,0.001244
QH,100,0.000799

BF,200,16.103616
DC,200,0.002650
QH,200,0.001742

BF,300,50.744220
DC,300,0.004534
QH,300,0.002656

BF,400,140.908724
DC,400,0.006565
QH,400,0.004981

BF,500,260.712879
DC,500,0.008585
QH,500,0.004458

